                2016                  21                   0                   8                8175                  18                  35                   2                  14                  75             32670.0
                2016                  -1                  24                   2                8175                  10                  49                   4                  -1                  76                 0.0
                2016                  20                   0                   2                8175                  20                  36                   0                  50                  77             39930.0
                2016                  10                   0                   3                8175                  18                  37                   0                  40                  78             49005.0
                2016                  -1                  -1                  -1                8175                  19                  78                   0                  -1                  79                 0.0
                2016                  -1                  -1                  -1                8175                  12                  41                   0                  37                  80                 0.0
                2016                  12                   1                   2                8175                  14                  42                   2                  45                  81            116160.0
                2016                  -1                  -1                  -1                8175                  14                  35                   1                  60                  82             49005.0
                2016                  10                   2                   2                   9                  16                  33                   1                  48                  83             87120.0
                2016                  -1                  -1                  -1                   9                  12                  44                   3                  40                  84             59895.0
                2016                  -1                  -1                  -1                   9                  16                  41                   3                  46                  85             39930.0
                2016                   7                   2                   2                   9                  12                  52                   2                  48                  86             32670.0
                2016                  10                   3                   8                  43                  16                  45                   0                  40                  87             59895.0
                2016                  -1                   1                   2                  43                  13                  41                   1                  50                  88             17242.5
                2016                  -1                  -1                  -1                  43                  12                  41                   3                  40                  89             13612.5
                2016                  -1                  -1                  -1                  43                  12                  68                   0                  -1                  90                 0.0
                2016                   5                   8                   2                  43                  12                  57                   3                  -1                  91                 0.0
                2016                  -1                  -1                  -1                  43                  20                  72                   3                  -1                  92                 0.0
                2016                   7                   0                   2                8175                  19                  68                   0                  -1                  93                 0.0
                2016                  -1                  -1                  -1                8175                  16                  50                   0                  40                  94             72600.0
                2016                  -1                  -1                  -1                8175                  17                  40                   0                  70                  95            101640.0
                2016                  15                   2                   2                8175                  15                  58                   0                  99                  96             39930.0
                2016                  10                   0                   2                8175                  16                  43                   0                  98                  97             15427.5
                2016                  30                   0                   2                8175                  16                  25                   0                  45                  98              4719.0
                2016                  -1                  -1                  -1                8175                  20                  33                   0                  40                  99              6534.0
                2016                  -1                  -1                  -1                8175                  16                  27                   0                  30                 100             49005.0
                2016                  -1                  -1                  -1                8175                  16                  58                   2                  37                 101             23595.0
                2016                  -1                   4                   2                8175                  12                  66                   4                  -1                 102                 0.0
                2016                  -1                   2                   2                8175                  12                  66                   0                  -1                 103                 0.0
                2016                  -1                  -1                  -1                8175                  12                  89                   2                  -1                 104                 0.0
                2016                  -1                  -1                  -1                8175                  14                  29                   2                  42                 105                 0.0
                2016                  -1                   5                   4                8175                   8                  89                   0                  -1                 106                 0.0
                2016                  -1                  -1                  -1                8175                  12                  78                   0                  -1                 107                 0.0
                2016                  -1                   4                   3                8175                  12                  52                   3                  -1                 108                 0.0
                2016                   5                   2                   2                8175                  11                  50                   0                  -1                 109                 0.0
                2016                  -1                  -1                  -1                8175                  16                  25                   1                   4                 110                 0.0
                2016                  10                   0                   2                8175                  16                  37                   2                  40                 111            101640.0
                2016                  -1                  -1                  -1                8175                  16                  54                   2                  50                 112                 0.0
                2016                 999                   0                   3                8175                  14                  52                   3                  51                 113                 0.0
                2016                   1                   2                   3                8175                  14                  48                   0                  35                 114             72600.0
                2016                   5                   2                   8                8175                  20                  32                   0                  60                 115                 0.0
                2016                  -1                  -1                  -1                8175                  17                  29                   0                  15                 116                 0.0
                2016                  -1                  -1                  -1                8175                  19                  75                   3                  -1                 117                 0.0
                2016                   3                   1                   3                8175                  19                  59                   0                  45                 118        189211.45584
